Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,Sutro Twr W6PW,145.150000,-,0.600000,DTCS,88.5,88.5,664,NN,FM,5.00,,,,,,
2,SF-W6TP-146,146.790000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
3,SF-W6TP-224,224.500000,-,1.600000,Tone,114.8,88.5,023,NN,FM,5.00,,,,,,
4,SFDwnTwn N6MVT,442.075000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,,,,,
